ngram,count
삭제된 게시물의,7
게시물의 답글,7
매수 타이밍,2
자에게 복이,2
오늘 10프로,2
공매도 세력,1
세력 커버링,1
프로그램이 50만주가,1
50만주가 넘었네,1
유상증자 주가하락,1
형들 내일,1
내일 한번,1
한번 갈까요,1
나라꼴 한순간이군,1
한순간이군 주식시장폭락,1
주식시장폭락 수출입대적자,1
주포색 개악질이라,1
잡주 손도,1
손도 대지들마삼,1
적당히 해라,1
3만원에 매물,1
매물 뭐냐,1
힌트 한가지,1
대북주 시외급락,1
시외급락 팜젠은,1
팜젠은 다시,1
다시 다음주부터,1
다음주부터 날라감,1
한국에서 어나면,1
어나면 정부에서,1
정부에서 선물을,1
선물을 준단다,1
인공혈액 관심받듯,1
초보나 잘물리시는분,1
잘물리시는분 내년,1
내년 상승종목,1
상승종목 하나,1
매출원확보 여전히,1
웬일로 오르냐,1
보고있으면 속이,1
속이 답답,1
중견기업부 편입은,1
안티해도 찬티해도,1
니도 상가자,1
상가자 우선주,1
우선주 쩜상이다,1
이틀 빠진것,1
오늘 불나방들,1
불나방들 타죽는줄,1
타죽는줄 알고,1
알고 덤비나,1
드디어 가즈아,1
내일 금요일,1
무지무지 손해,1
손해 종목,1
ibk반대매매 다빠졌으니,1
테마주 전문,1
전문 미국에서,1
미국에서 테스트해서,1
테스트해서 실패라고,1
실패라고 나오기,1
나오기 전까지,1
전까지 살아,1
살아 있음,1
주주 환원정책,1
환원정책 없나,1
거시기해서 거시기,1
거시기 해불자,1
라희 할매,1
할매 처분해,1
일단 매도,1
꼰대문충이도 국뽕마케딩은,1
안철수 윤석열은,1
윤석열은 몰래,1
몰래 만나는,1
만나는 절친사이,1
어제랑 똑같은,1
똑같은 패턴,1
지분11 누가,1
누가 가져간거냐,1
이거 20만원,1
20만원 밑에서,1
밑에서 파는,1
파는 사람은,1
한동훈 테마주,1
테마주 엮일,1
엮일 수도,1
주식은 프리솔로다,1
매년150억 적자를,1
적자를 주주들,1
주주들 추석전에,1
추석전에 유상증자로,1
유상증자로 돌파,1
오늘 하한가,1
하한가 가즈아,1
가즈아 40만원,1
40만원 좋다,1
어쩜 매일,1
매일 이리,1
이리 똑같을까,1
이뮤노믹때랑 똑같은,1
똑같은 패턴이다,1
오늘 종가안봐도,1
종가안봐도 확실해졌다,1
와케 개미들,1
개미들 이렇게,1
이렇게 호구들,1
호구들 많노,1
어갈간 지금같은,1
지금같은 장에는,1
장에는 파악을,1
파악을 잘해야합니다,1
이제 재무재표,1
재무재표 떳네,1
mo지리가 거래도없는,1
거래도없는 주식,1
주주님들 이제시작,1
미국 15위면,1
15위면 하루,1
하루 매출이,1
매출이 어느정도인가요,1
자사주 매도,1
매도 금지바랍니다,1
부동산 관련,1
관련 공시,1
오늘은 개미,1
개미 잔칫날,1
호재가 있긴있나보다,1
있긴있나보다 파악파악,1
파악파악 누르네,1
하구한날 쳐맞고,1
쳐맞고 있슴미다,1
주가뽁등 예상,1
유튜버 이너들,1
이너들 언제나,1
언제나 매도금지,1
도룬cw색이 애뮈,1
애뮈 데지고,1
데지고 10년이,1
10년이 지나도,1
꼬라박으려고 폼잡는중,1
창사이래 가장,1
가장 이슈에,1
이슈에 탔네요,1
미치것 읍니다,1
읍니다 지금,1
지금 10140원,1
10140원 까지,1
까지 매입을,1
매입을 기다리는대,1
기다리는대 전문가님들,1
전문가님들 언제나,1
언제나 오나요,1
어치피 3일인거,1
석열이만 탄핵할게,1
탄핵할게 아니고,1
오늘 털린넘들,1
털린넘들 모두,1
모두 안티로,1
안티로 돌변했네,1
돌변했네 누가,1
누가 매도하라고,1
매도하라고 했나,1
예전부터 관심가던,1
관심가던 주식인데,1
간다 워싱턴,1
아니 빠져도,1
빠져도 적당히,1
적당히 빠져야지,1
조국 법정에서,1
법정에서 나온,1
나온 진술,1
오뉴월 개패듯이,1
한화솔루션도 어제까지,1
어제까지 잡주로,1
잡주로 욕먹더만,1
가자 올라갈때,1
올라갈때 되었다,1
되었다 때넘들,1
때넘들 더럽게,1
더럽게 못하네,1
테슬라 발표가,1
답글 2분기,1
2분기 실적,1
실적 발표,1
발표 언제,1
종목이슈는 미장이랑,1
미장이랑 상관없이,1
노바디 노바디,1
정상에서 물린사람,1
다른종목 기웃거려도,1
기웃거려도 노잼판이라,1
신용비율 버그걸린거,1
버그걸린거 같은데,1
blac 삭제함,1
오늘이 마지막,1
마지막 상승임,1
개잡엘 가는날,1
가는날 분명히,1
분명히 올거여,1
